"File","ExpectedPrefix","IssueCount","Issues"
"app\engine\__init__.py",".","0",""
"app\engine\audit_active_connections.py",".","0",""
"app\engine\audit_browser_extensions.py",".","0",""
"app\engine\audit_certificates.py",".","0",""
"app\engine\audit_dns_settings.py",".","0",""
"app\engine\audit_listening_ports.py",".","0",""
"app\engine\audit_network_interfaces.py",".","0",""
"app\engine\audit_proxy_settings.py",".","0",""
"app\engine\audit_routes.py",".","0",""
"app\engine\audit_scheduled_tasks.py",".","0",""
"app\engine\audit_startup_items.py",".","0",""
"app\engine\browser_extensions\linux.py","..","0",""
"app\engine\browser_extensions\macos.py","..","0",""
"app\engine\browser_extensions\windows.py","..","0",""
"app\engine\certificates\linux.py","..","0",""
"app\engine\certificates\macos.py","..","0",""
"app\engine\certificates\windows.py","..","0",""
"app\engine\common_utils.py",".","0",""
"app\engine\dns_settings\linux.py","..","0",""
"app\engine\dns_settings\macos.py","..","0",""
"app\engine\dns_settings\windows.py","..","0",""
"app\engine\network_interfaces\linux.py","..","0",""
"app\engine\network_interfaces\macos.py","..","0",""
"app\engine\network_interfaces\windows.py","..","0",""
"app\engine\platform_utils.py",".","0",""
"app\engine\routes\linux.py","..","0",""
"app\engine\routes\macos.py","..","0",""
"app\engine\routes\windows.py","..","0",""
"app\engine\run_full_audit.py",".","0",""
"app\engine\scheduled_tasks\linux.py","..","0",""
"app\engine\scheduled_tasks\macos.py","..","0",""
"app\engine\scheduled_tasks\windows.py","..","0",""
"app\engine\startup_items\linux.py","..","0",""
"app\engine\startup_items\macos.py","..","0",""
"app\engine\startup_items\windows.py","..","0",""
"app\engine\summarize_findings.py",".","0",""
